term,translation,category,status,confidence,source,chapterRefs,reviewer,reviewedAt,locked,notes,options,desc_en,desc_vi
gig economy,nền kinh tế gig,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5,nền kinh tế gig,market system in which independent contractors fill a variety of positions,hệ thống thị trường trong đó các nhà thầu độc lập đảm nhận nhiều vị trí khác nhau
infrastructure,cơ sở hạ tầng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5,cơ sở hạ tầng,"all resources the entrepreneur will need in order to launch and sustain a business venture offering (actual product or service, its value proposition, and how you will reach and communicate with your target customers)","toàn bộ các nguồn lực mà doanh nhân cần để khởi động và duy trì một doanh nghiệp, bao gồm sản phẩm hoặc dịch vụ thực tế, giá trị đề xuất của nó và cách doanh nghiệp tiếp cận và giao tiếp với khách hàng mục tiêu"
opportunity screening,sàng lọc cơ hội,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5,sàng lọc cơ hội,"process used to evaluate innovative product ideas, strategies, and marketing trends, focusing on financial resources, skills of the entrepreneurial team, and competition","quá trình được sử dụng để đánh giá các ý tưởng sản phẩm đổi mới, chiến lược và xu hướng marketing, tập trung vào nguồn lực tài chính, kỹ năng của đội ngũ khởi nghiệp và sự cạnh tranh"
primary research,nghiên cứu sơ cấp,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 5, Chương 8",nghiên cứu sơ cấp,research that involves gathering new data,nghiên cứu bao gồm việc thu thập dữ liệu mới
secondary research,nghiên cứu thứ cấp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5,nghiên cứu thứ cấp,research that uses existing data,nghiên cứu sử dụng dữ liệu đã có sẵn
shared economy,nền kinh tế chia sẻ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5,nền kinh tế chia sẻ,"economy in which some assets are not in use, which may present an entrepreneurial opportunity","nền kinh tế trong đó một số tài sản không được sử dụng, điều này có thể tạo ra cơ hội khởi nghiệp"
supply,cung,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5,cung,amount of a product or service produced,lượng sản phẩm hoặc dịch vụ được sản xuất
swot analysis,phân tích SWOT,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 5, Chương 11",phân tích SWOT,"strategic analytical tool used to help a potential venture or existing company identify its strengths, weaknesses, opportunities, and threats related to business competition","công cụ phân tích chiến lược được sử dụng để giúp một doanh nghiệp tiềm năng hoặc hiện có xác định các điểm mạnh, điểm yếu, cơ hội và thách thức liên quan đến cạnh tranh kinh doanh"
unique selling proposition,đề xuất bán hàng độc nhất (USP),other,approved,medium,auto,,,,false,USP chưa có bản dịch đủ tốt. Cần review lại sau.,đề xuất bán hàng độc nhất (USP),marketer’s rationale as to why a product or service is different/better than the competitor’s products,lập luận của nhà tiếp thị về lý do tại sao sản phẩm hoặc dịch vụ khác biệt hoặc tốt hơn so với sản phẩm của đối thủ cạnh tranh
market validation,kiểm chứng thị trường,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5 (bổ sung),kiểm chứng thị trường,the process of testing whether a product or business idea meets real market demand and is accepted by target customers.,quá trình kiểm tra xem một sản phẩm hoặc ý tưởng kinh doanh có đáp ứng nhu cầu thực tế của thị trường và được khách hàng mục tiêu chấp nhận hay không.
demand estimation,ước lượng nhu cầu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5 (bổ sung),ước lượng nhu cầu,the process of forecasting the quantity of a product or service that consumers are willing to purchase over a specific period.,quá trình dự báo lượng sản phẩm hoặc dịch vụ mà người tiêu dùng sẵn sàng mua trong một khoảng thời gian nhất định.
customer insight,hiểu biết sâu về khách hàng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5 (bổ sung),hiểu biết sâu về khách hàng,"a deep understanding of customer behaviors, needs, motivations, and pain points that informs business decisions.","sự hiểu biết sâu sắc về hành vi, nhu cầu, động cơ và vấn đề của khách hàng, làm cơ sở cho các quyết định kinh doanh."
opportunity evaluation,đánh giá cơ hội kinh doanh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5 (bổ sung),đánh giá cơ hội kinh doanh,"the process of assessing the potential of an opportunity based on factors such as market demand, feasibility, competition, and profitability.","quá trình phân tích và đánh giá tiềm năng của một cơ hội dựa trên các yếu tố như nhu cầu thị trường, tính khả thi, mức độ cạnh tranh và khả năng sinh lợi."
adaptive model,mô hình thích ứng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,mô hình thích ứng,method of entrepreneurial problem solving that seeks solutions in ways that are tested and known to be effective,phương pháp giải quyết vấn đề trong khởi nghiệp tìm kiếm các giải pháp theo những cách đã được kiểm chứng và được biết là hiệu quả
assessment,giai đoạn đánh giá (assessment),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,giai đoạn đánh giá (assessment),lean problem-solving process phase in which the entrepreneur experiments and analyzes the potential process and its capabilities,"giai đoạn trong quy trình giải quyết vấn đề tinh gọn, trong đó doanh nhân tiến hành thử nghiệm và phân tích quy trình tiềm năng cùng các khả năng của nó"
clarify,làm rõ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,làm rõ,"first step of the creative process, which involves recognizing the existence of a gap between the current state and a desired state","bước đầu tiên của quá trình sáng tạo, bao gồm việc nhận ra sự tồn tại của khoảng cách giữa trạng thái hiện tại và trạng thái mong muốn"
communication skills,kỹ năng giao tiếp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,kỹ năng giao tiếp,skills entrepreneurs use to pool resources for the purposes of investigating solutions leading to innovative problem solving and competitive advantage,"các kỹ năng mà doanh nhân sử dụng để huy động và kết nối nguồn lực nhằm mục đích tìm kiếm giải pháp, từ đó dẫn đến việc giải quyết vấn đề mang tính đổi mới và tạo lợi thế cạnh tranh"
critical thinking,tư duy phản biện,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,tư duy phản biện,complex analysis of a problem or issue with the goal of solving the problem or making a decision,việc phân tích phức tạp một vấn đề hoặc một tình huống với mục tiêu giải quyết vấn đề hoặc đưa ra quyết định
crowdsourcing,huy động trí tuệ đám đông,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,huy động trí tuệ đám đông,teams of amateurs and non-experts working together to form a solution to a problem,các nhóm gồm những người nghiệp dư và không phải chuyên gia cùng làm việc để tạo ra giải pháp cho một vấn đề
data analysis,phân tích dữ liệu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,phân tích dữ liệu,process of analyzing data and modeling the data into a structure that leads to innovative conclusions,quá trình phân tích dữ liệu và mô hình hóa dữ liệu thành một cấu trúc dẫn đến các kết luận mang tính đổi mới
decisiveness,tính quyết đoán,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,tính quyết đoán,"ability to make a quick, effective decision, not letting too much time go by in the process","khả năng đưa ra quyết định nhanh chóng và hiệu quả, không để quá nhiều thời gian trôi qua trong quá trình ra quyết định"
develop,phát triển,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,phát triển,stage in which the entrepreneur takes the list of ideas generated and tests each solution for feasibility,giai đoạn trong đó doanh nhân lấy danh sách các ý tưởng đã tạo ra và kiểm tra từng giải pháp về tính khả thi
entrepreneurial problem solving,giải quyết vấn đề khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,giải quyết vấn đề khởi nghiệp,"process of using innovation and creative solutions to close the opportunity gap by resolving complex societal, business, or technological problems","quá trình sử dụng đổi mới và các giải pháp sáng tạo để thu hẹp khoảng cách cơ hội bằng cách giải quyết các vấn đề phức tạp về xã hội, kinh doanh hoặc công nghệ"
evaluate,đánh giá (evaluate),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,đánh giá (evaluate),stage in which the final solution is assessed,giai đoạn trong đó giải pháp cuối cùng được đánh giá
evaluation,giai đoạn đánh giá (evaluation),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,giai đoạn đánh giá (evaluation),lean problem-solving process phase in which behaviors are analyzed to assess success,"giai đoạn trong quy trình giải quyết vấn đề tinh gọn, trong đó các hành vi được phân tích để đánh giá mức độ thành công"
external environment,môi trường bên ngoài,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,môi trường bên ngoài,"outside the enterprise and encompasses customers, industry trends, and competition","môi trường bên ngoài doanh nghiệp, bao gồm khách hàng, xu hướng ngành và đối thủ cạnh tranh"
hackathon,hackathon,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,hackathon,"event, usually hosted by a tech company or organization, which brings together programmers and workers with other degrees of specialization within the company, community, or organization to collaborate on a project over a short period of time","sự kiện, thường do một công ty hoặc tổ chức công nghệ tổ chức, quy tụ các lập trình viên và những người có chuyên môn khác nhau trong công ty, cộng đồng hoặc tổ chức để cùng hợp tác thực hiện một dự án trong một khoảng thời gian ngắn"
human-centered design,thiết kế lấy con người làm trung tâm,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,thiết kế lấy con người làm trung tâm,focuses on people during design and development,phương pháp tập trung vào con người trong quá trình thiết kế và phát triển
ideate,hình thành ý tưởng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,hình thành ý tưởng,stage of the creative problem-solving process leading to the detailing and formation of idea generation by the entrepreneur,giai đoạn trong quá trình giải quyết vấn đề sáng tạo dẫn đến việc chi tiết hóa và hình thành các ý tưởng do doanh nhân tạo ra
implement,triển khai,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,triển khai,means to enact the plan and test for success,việc thực hiện kế hoạch và kiểm tra mức độ thành công
innovative model,mô hình đổi mới,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,mô hình đổi mới,method of entrepreneurial problem solving that uses techniques unknown to the market and that bring competitive advantage to an organization,phương pháp giải quyết vấn đề trong khởi nghiệp sử dụng các kỹ thuật chưa được biết đến trên thị trường và mang lại lợi thế cạnh tranh cho tổ chức
internal environment,môi trường bên trong,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,môi trường bên trong,"comprises the factors inside the enterprise, such as employees, and internal practices and processes","bao gồm các yếu tố bên trong doanh nghiệp như nhân viên và các hoạt động, quy trình nội bộ"
lean process,quy trình tinh gọn,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,quy trình tinh gọn,systematic process for the maximizing of continuous improvement and the minimization of surplus or unused material in the production of a process,quy trình có hệ thống nhằm tối đa hóa cải tiến liên tục và giảm thiểu phần dư thừa hoặc vật liệu không được sử dụng trong quá trình sản xuất
need awareness,nhận thức nhu cầu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,nhận thức nhu cầu,occurs when the entrepreneur notes a gap between societal or customer needs and actual circumstances,xảy ra khi doanh nhân nhận thấy khoảng cách giữa nhu cầu của xã hội hoặc khách hàng và thực tế hiện tại
observation,quan sát,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,quan sát,lean problem-solving process phase in which the entrepreneur studies the challenge and notes all facets of the challenge requiring solution,"giai đoạn trong quy trình giải quyết vấn đề tinh gọn, trong đó doanh nhân nghiên cứu thách thức và ghi nhận tất cả các khía cạnh của vấn đề cần được giải quyết"
petitioner problem solvers,người tìm kiếm giải pháp từ người khác,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,người tìm kiếm giải pháp từ người khác,problem solvers who see a problem and ask others for solution ideas,những người giải quyết vấn đề nhận thấy một vấn đề và tìm kiếm ý tưởng giải pháp từ người khác
resourcefulness,tính tháo vát,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,tính tháo vát,ability to discover clever solutions to obstacles,khả năng tìm ra các giải pháp sáng tạo và hiệu quả cho các trở ngại
self-regulating problem solvers,người giải quyết vấn đề tự chủ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,người giải quyết vấn đề tự chủ,"problem solvers who are autonomous and work on their own, without external influence; they have the ability to see a problem, immediately visualize a possible solution to the problem, and seek to devise a solution","những người giải quyết vấn đề có tính tự chủ và làm việc độc lập, không bị ảnh hưởng từ bên ngoài; họ có khả năng nhận ra vấn đề, hình dung ngay một giải pháp khả thi và tìm cách xây dựng giải pháp đó"
storyboarding,xây dựng bảng phân cảnh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,xây dựng bảng phân cảnh,process of presenting an idea in a step-by-step graphic format,quá trình trình bày một ý tưởng dưới dạng hình ảnh theo từng bước
team creativity,sáng tạo nhóm,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,sáng tạo nhóm,process of a team creating an unexpected solution for an issue or challenge,quá trình một nhóm tạo ra một giải pháp bất ngờ cho một vấn đề hoặc thách thức
theorist problem solvers,người giải quyết vấn đề theo lý thuyết,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,người giải quyết vấn đề theo lý thuyết,problem solvers who see a problem and begin to consider a path toward solving the problem using a theory,những người giải quyết vấn đề nhận thấy một vấn đề và bắt đầu xem xét một hướng giải quyết dựa trên lý thuyết
whiteboarding,phác thảo trên bảng trắng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6,phác thảo trên bảng trắng,type of graphing that permits the entrepreneur to plot each step in a process to build comprehension and detailing of the process,một dạng sơ đồ hóa cho phép doanh nhân vạch ra từng bước trong một quy trình nhằm nâng cao sự hiểu biết và chi tiết hóa quy trình
problem framing,định nghĩa vấn đề,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6 (bổ sung),định nghĩa vấn đề,The process of defining and structuring a problem in a way that guides analysis and solution development.,Quá trình xác định và cấu trúc hóa vấn đề theo một cách tiếp cận giúp định hướng việc phân tích và phát triển giải pháp.
solution design,thiết kế giải pháp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6 (bổ sung),thiết kế giải pháp,The process of creating and developing solutions to address a defined problem.,Quá trình xây dựng và phát triển các giải pháp nhằm giải quyết một vấn đề đã được xác định.
hypothesis testing,kiểm định giả thuyết,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6 (bổ sung),kiểm định giả thuyết,The process of testing assumptions or predictions through experiments or data analysis.,Quá trình kiểm tra các giả định hoặc dự đoán thông qua thử nghiệm hoặc phân tích dữ liệu.
analytical thinking,tư duy phân tích,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 6 (bổ sung),tư duy phân tích,"The ability to break down complex information into smaller parts to understand, evaluate, and solve problems.","Khả năng phân tách thông tin phức tạp thành các phần nhỏ hơn để hiểu, đánh giá và giải quyết vấn đề."
ask,khoản yêu cầu (ask),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,khoản yêu cầu (ask),specific amount of money or type of assistance requested in a pitch,số tiền cụ thể hoặc loại hỗ trợ cụ thể được yêu cầu trong một bài pitch
corporate narrative,câu chuyện doanh nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,câu chuyện doanh nghiệp,"story about how a successful company grew from something small into something broad and powerful, serving thousands or even millions of people; it may have marketing purposes, and it may serve as an inspirational story for leaders and employees","câu chuyện về cách một công ty thành công phát triển từ quy mô nhỏ trở thành một tổ chức lớn và có ảnh hưởng, phục vụ hàng nghìn hoặc thậm chí hàng triệu người; câu chuyện này có thể phục vụ mục đích marketing và cũng có thể đóng vai trò như một câu chuyện truyền cảm hứng cho lãnh đạo và nhân viên"
elevator pitch,bài pitch ngắn (elevator pitch),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,bài pitch ngắn (elevator pitch),"abbreviated pitch, a memorized talk that can get you into the door to put your full pitch deck on display","một bài pitch rút gọn, được ghi nhớ trước, có thể giúp bạn mở ra cơ hội trình bày đầy đủ bộ slide pitch deck của mình"
entrepreneurial contest,cuộc thi khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,cuộc thi khởi nghiệp,"any entrepreneurial competition other than a pitch competition; contests may entail submitting business models, long-form prospectuses, or forms tailored to contest specifications","bất kỳ cuộc thi khởi nghiệp nào ngoài cuộc thi pitch; các cuộc thi này có thể yêu cầu nộp mô hình kinh doanh, bản kế hoạch chi tiết hoặc các biểu mẫu theo yêu cầu cụ thể của cuộc thi"
fear of missing out (fomo),hội chứng sợ bị bỏ lỡ (FOMO),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,hội chứng sợ bị bỏ lỡ (FOMO),"need to keep up with peers and the personas they represent in social settings, particularly on social media","nhu cầu phải theo kịp bạn bè và hình ảnh mà họ thể hiện trong các bối cảnh xã hội, đặc biệt là trên mạng xã hội"
iceberg principle,nguyên tắc tảng băng trôi,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,nguyên tắc tảng băng trôi,"writing principle useful for preparing contest documents and pitch decks; following this principle, each word or sentence in the submission or presentation should be backed up with a wealth of supporting information and details that go unspoken in the pitch or proposal, but which you have at the ready should an investor take interest in the details and your knowledge of them","nguyên tắc viết hữu ích trong việc chuẩn bị tài liệu dự thi và pitch deck; theo nguyên tắc này, mỗi từ hoặc câu trong bài trình bày hoặc tài liệu phải được hỗ trợ bởi một lượng lớn thông tin và chi tiết nền tảng không được nói ra trong bài pitch hoặc đề xuất, nhưng bạn phải sẵn sàng cung cấp khi nhà đầu tư quan tâm đến chi tiết và kiến thức của bạn"
noncompete agreement,thỏa thuận không cạnh tranh,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 7, Chương 15",thỏa thuận không cạnh tranh,formal agreement that the person signing the document will not work for another organization that is a direct competitor of their current employer during employment and usually for a specified length of time after employment ends,thỏa thuận chính thức rằng người ký văn bản sẽ không làm việc cho bất kỳ tổ chức nào là đối thủ cạnh tranh trực tiếp của người sử dụng lao động hiện tại trong thời gian làm việc và thường trong một khoảng thời gian xác định sau khi chấm dứt quan hệ lao động
nondisclosure agreement (nda),thỏa thuận bảo mật (NDA),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,thỏa thuận bảo mật (NDA),contract that carries harsh financial penalties should one party to the agreement disclose what they know of the proprietary information,hợp đồng quy định các hình phạt tài chính nghiêm khắc nếu một bên trong thỏa thuận tiết lộ thông tin độc quyền mà họ biết
pitch,bài thuyết trình gọi vốn (pitch),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,bài thuyết trình gọi vốn (pitch),formal presentation in which you ask for something and that is delivered (usually) to potential investors in a startup,bài trình bày chính thức trong đó bạn đưa ra một yêu cầu và thường được trình bày trước các nhà đầu tư tiềm năng của một startup
pitch competition,cuộc thi pitch,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,cuộc thi pitch,"competition that may have cash prizes or mentorship opportunities for winners; you are expected to present your business idea in the form of a presentation, usually with a pitch deck","cuộc thi có thể có giải thưởng tiền mặt hoặc cơ hội cố vấn cho người chiến thắng; người tham gia được kỳ vọng trình bày ý tưởng kinh doanh dưới dạng bài thuyết trình, thường kèm theo pitch deck"
pitch deck,bộ slide pitch,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,bộ slide pitch,slide presentation that you create that gives a quick overview of your product and what you’re asking for,bộ slide trình bày do bạn tạo ra nhằm cung cấp cái nhìn tổng quan nhanh về sản phẩm của bạn và những gì bạn đang kêu gọi
problem-solution narrative,câu chuyện vấn đề – giải pháp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,câu chuyện vấn đề – giải pháp,"brief story of a sentence or two that states a problem affecting many people and offering a solution that is innovative, unique, insightful, or all of these","câu chuyện ngắn (một hoặc hai câu) nêu ra một vấn đề ảnh hưởng đến nhiều người và đưa ra một giải pháp mang tính đổi mới, độc đáo, sâu sắc hoặc kết hợp các yếu tố này"
user interface (ui),giao diện người dùng (UI),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,giao diện người dùng (UI),"what a customer sees when they use your product; having a variant of a UI is not necessarily grounds for establishing a patent, but having unique design in the broad sense may help you to secure patent protection","những gì khách hàng nhìn thấy khi họ sử dụng sản phẩm của bạn; việc có một biến thể của giao diện người dùng không nhất thiết là cơ sở để đăng ký bằng sáng chế, nhưng việc có thiết kế độc đáo theo nghĩa rộng có thể giúp bạn đạt được sự bảo hộ sáng chế"
work-for-hire agreement,thỏa thuận làm thuê (work-for-hire),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7,thỏa thuận làm thuê (work-for-hire),"agreement between an individual employee and a company states that ownership of innovations belongs to the company, even if an individual makes substantial contributions to the product","thỏa thuận giữa một cá nhân (nhân viên) và một công ty quy định rằng quyền sở hữu đối với các sáng tạo thuộc về công ty, ngay cả khi cá nhân đó có đóng góp đáng kể vào sản phẩm"
investor narrative,câu chuyện dành cho nhà đầu tư,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7 (bổ sung),câu chuyện dành cho nhà đầu tư,"a structured story that explains a business opportunity, focusing on value, growth potential, and returns for investors.","câu chuyện trình bày cơ hội kinh doanh, tập trung vào giá trị, tiềm năng tăng trưởng và lợi nhuận dành cho nhà đầu tư."
value communication,truyền đạt giá trị sản phẩm,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7 (bổ sung),truyền đạt giá trị sản phẩm,the process of clearly conveying the benefits and value of a product or service to customers or stakeholders.,quá trình truyền tải rõ ràng các lợi ích và giá trị của sản phẩm hoặc dịch vụ đến khách hàng hoặc các bên liên quan.
audience targeting,xác định đối tượng người nghe,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7 (bổ sung),xác định đối tượng người nghe,the process of identifying and focusing on a specific audience group for communication or marketing efforts.,quá trình xác định và tập trung vào một nhóm đối tượng cụ thể trong hoạt động truyền thông hoặc marketing.
persuasive communication,giao tiếp thuyết phục,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 7 (bổ sung),giao tiếp thuyết phục,"communication aimed at influencing the attitudes, beliefs, or actions of others.","hình thức giao tiếp nhằm tác động đến suy nghĩ, niềm tin hoặc hành vi của người khác."
advertising,quảng cáo,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,quảng cáo,"mass communication that allows companies to reach a broad audience through TV, radio, newspaper, Internet, magazines, and outdoor ads","hình thức truyền thông đại chúng cho phép các công ty tiếp cận một lượng lớn đối tượng khán giả thông qua truyền hình, radio, báo chí, Internet, tạp chí và quảng cáo ngoài trời"
brand,thương hiệu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,thương hiệu,image a company promotes and the connotations it fosters of itself and its products,hình ảnh mà công ty quảng bá và những liên tưởng mà công ty tạo ra về bản thân và các sản phẩm của mình
brand advocate,người ủng hộ thương hiệu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,người ủng hộ thương hiệu,someone who is a fan of your products and passes on the word to others,người yêu thích sản phẩm của bạn và truyền đạt thông tin đó đến những người khác
brand strategy,chiến lược thương hiệu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,chiến lược thương hiệu,image a company conveys to its customers,hình ảnh mà công ty truyền tải tới khách hàng
bundling,bán gộp sản phẩm,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,bán gộp sản phẩm,bundle of products that is discounted to encourage customers to buy in bulk,việc gộp nhiều sản phẩm thành một gói được giảm giá nhằm khuyến khích khách hàng mua với số lượng lớn
causal research,nghiên cứu nhân quả,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,nghiên cứu nhân quả,identification of cause-and-effect relationships between two or more variables,việc xác định các mối quan hệ nhân quả giữa hai hoặc nhiều biến số
close,chốt bán hàng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,chốt bán hàng,step in the sales process in which the salesperson asks for and gets the sale,bước trong quy trình bán hàng trong đó nhân viên bán hàng đề nghị và đạt được việc bán hàng
conjoint analysis,phân tích kết hợp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,phân tích kết hợp,"survey tool in which respondents must rank, choose, or rate a number of “conjoint,” or linked, features or benefits","công cụ khảo sát trong đó người trả lời phải xếp hạng, lựa chọn hoặc đánh giá một số đặc điểm hoặc lợi ích “kết hợp” (liên kết)"
cost-led pricing,định giá dựa trên chi phí,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,định giá dựa trên chi phí,easiest way to price a product by taking the cost of making the product and marking it up to create profit,cách định giá sản phẩm đơn giản nhất bằng cách lấy chi phí sản xuất sản phẩm và cộng thêm một mức để tạo ra lợi nhuận
customer-led pricing,định giá theo khách hàng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,định giá theo khách hàng,pricing led by what the customer is willing to pay,việc định giá dựa trên mức giá mà khách hàng sẵn sàng chi trả
digital marketing,tiếp thị kỹ thuật số,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,tiếp thị kỹ thuật số,online marketing,hoạt động tiếp thị được thực hiện trên môi trường trực tuyến
direct mail,thư trực tiếp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,thư trực tiếp,connecting to consumers via email or through printed mailed pieces,việc kết nối với người tiêu dùng thông qua email hoặc các tài liệu in gửi qua đường bưu điện
entrepreneurial marketing,tiếp thị khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,tiếp thị khởi nghiệp,set of unconventional practices that can help start-ups and younger firms survive in competitive markets,tập hợp các phương thức tiếp thị không truyền thống có thể giúp các doanh nghiệp khởi nghiệp và doanh nghiệp trẻ tồn tại trong các thị trường cạnh tranh
ethnographic research,nghiên cứu dân tộc học,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,nghiên cứu dân tộc học,use of personal observation of the subject by being immersed in the subject’s environment,việc sử dụng quan sát trực tiếp cá nhân bằng cách hòa mình vào môi trường của đối tượng nghiên cứu
executive summary,tóm tắt điều hành,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,tóm tắt điều hành,initial section of a business plan document that summarizes the key elements of the entire plan,"phần đầu của tài liệu kế hoạch kinh doanh, tóm tắt các yếu tố chính của toàn bộ kế hoạch"
expeditionary marketing,tiếp thị thăm dò,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,tiếp thị thăm dò,marketing designed to move established companies and their products into new markets and territories,hoạt động tiếp thị được thiết kế nhằm đưa các công ty đã ổn định và sản phẩm của họ vào các thị trường và khu vực mới
focus group,nhóm thảo luận,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,nhóm thảo luận,"gathering of people, typically six to twelve participants, who come together to discuss a topic presented by a moderator, who usually poses questions and collects qualitative data that can be used to answer questions or define research further","việc tập hợp một nhóm người, thường từ sáu đến mười hai người, cùng thảo luận một chủ đề do người điều phối đưa ra, người này đặt câu hỏi và thu thập dữ liệu định tính để trả lời câu hỏi hoặc định hướng nghiên cứu sâu hơn"
guerrilla marketing,tiếp thị du kích,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,tiếp thị du kích,creative approaches to marketing that seek to gain maximum exposure through unconventional means,các cách tiếp cận sáng tạo trong marketing nhằm đạt được mức độ tiếp cận tối đa thông qua các phương thức không truyền thống
introductory offers,ưu đãi giới thiệu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,ưu đãi giới thiệu,using lower initial prices to attract new customers and build a customer base before prices return to their standard amount,việc sử dụng mức giá ban đầu thấp để thu hút khách hàng mới và xây dựng tệp khách hàng trước khi giá quay trở lại mức tiêu chuẩn
jingle,đoạn nhạc quảng cáo,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,đoạn nhạc quảng cáo,short song or sound that brands a product or company and helps to promote it,đoạn nhạc hoặc âm thanh ngắn giúp nhận diện thương hiệu cho sản phẩm hoặc công ty và hỗ trợ việc quảng bá
loss leader pricing,định giá mồi,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,định giá mồi,"using a below-standard price to attract customers in the hope that they will purchase other, more profitable goods and services","việc sử dụng mức giá thấp hơn tiêu chuẩn để thu hút khách hàng, với kỳ vọng rằng họ sẽ mua các hàng hóa và dịch vụ khác có lợi nhuận cao hơn"
