term,translation,category,status,confidence,source,chapterRefs,reviewer,reviewedAt,locked,notes
for-profit business,doanh nghiệp vì lợi nhuận,other,candidate,medium,auto_extraction,"chapter-3, chapter-6, chapter-12, chapter-13",,,false,Extracted via terminology_analysis_known
Link to Learning Read,,other,candidate,medium,auto_extraction,"chapter-3, chapter-6, chapter-10, chapter-11",,,false,Extracted via terminology_analysis_candidate
observation,quan sát,other,candidate,medium,auto_extraction,"chapter-4, chapter-6, chapter-8, chapter-11",,,false,Extracted via terminology_analysis_known
external environment,môi trường bên ngoài,other,candidate,medium,auto_extraction,"chapter-5, chapter-6, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
profit margin,biên lợi nhuận,other,candidate,medium,auto_extraction,"chapter-5, chapter-8, chapter-9, chapter-10",,,false,Extracted via terminology_analysis_known
data analysis,phân tích dữ liệu,other,candidate,medium,auto_extraction,"chapter-6, chapter-8, chapter-11, chapter-15",,,false,Extracted via terminology_analysis_known
executive summary,tóm tắt điều hành,other,candidate,medium,auto_extraction,"chapter-7, chapter-8, chapter-10, chapter-11",,,false,Extracted via terminology_analysis_known
valuation,định giá,other,candidate,medium,auto_extraction,"chapter-7, chapter-9, chapter-11, chapter-14",,,false,Extracted via terminology_analysis_known
disruptive technology,công nghệ đột phá,other,candidate,medium,auto_extraction,"chapter-1, chapter-4, chapter-11",,,false,Extracted via terminology_analysis_known
entrepreneurial mindset,tư duy khởi nghiệp,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3",,,false,Extracted via terminology_analysis_known
entrepreneurial vision,tầm nhìn khởi nghiệp,other,candidate,medium,auto_extraction,"chapter-1, chapter-11, chapter-15",,,false,Extracted via terminology_analysis_known
vision statement,tuyên bố tầm nhìn,other,candidate,medium,auto_extraction,"chapter-1, chapter-7, chapter-15",,,false,Extracted via terminology_analysis_known
entrepreneurial spirit,tinh thần khởi nghiệp,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-4",,,false,Extracted via terminology_analysis_known
franchising,nhượng quyền thương mại,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-10",,,false,Extracted via terminology_analysis_known
sole proprietorship,doanh nghiệp tư nhân,other,candidate,medium,auto_extraction,"chapter-1, chapter-12, chapter-13",,,false,Extracted via terminology_analysis_known
action plan,kế hoạch hành động,other,candidate,medium,auto_extraction,"chapter-2, chapter-8, chapter-13",,,false,Extracted via terminology_analysis_known
breakeven point,điểm hòa vốn,other,candidate,medium,auto_extraction,"chapter-2, chapter-9, chapter-11",,,false,Extracted via terminology_analysis_known
creative destruction,sự hủy diệt sáng tạo,other,candidate,medium,auto_extraction,"chapter-2, chapter-5, chapter-11",,,false,Extracted via terminology_analysis_known
independent contractor,nhà thầu độc lập,other,candidate,medium,auto_extraction,"chapter-2, chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
milestone,cột mốc,other,candidate,medium,auto_extraction,"chapter-2, chapter-8, chapter-15",,,false,Extracted via terminology_analysis_known
prejudice,định kiến,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-7",,,false,Extracted via terminology_analysis_known
accountability,trách nhiệm giải trình,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-13",,,false,Extracted via terminology_analysis_known
critical thinking,tư duy phản biện,other,candidate,medium,auto_extraction,"chapter-2, chapter-6, chapter-13",,,false,Extracted via terminology_analysis_known
validation,xác thực,other,candidate,medium,auto_extraction,"chapter-2, chapter-8, chapter-10",,,false,Extracted via terminology_analysis_known
donation,khoản quyên góp,other,candidate,medium,auto_extraction,"chapter-2, chapter-3, chapter-9",,,false,Extracted via terminology_analysis_known
economic factors,các yếu tố kinh tế,other,candidate,medium,auto_extraction,"chapter-2, chapter-5, chapter-14",,,false,Extracted via terminology_analysis_known
funding sources,nguồn vốn,other,candidate,medium,auto_extraction,"chapter-2, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
New York City,,other,candidate,medium,auto_extraction,"chapter-2, chapter-5, chapter-9",,,false,Extracted via terminology_analysis_candidate
disclosure,công bố thông tin,other,candidate,medium,auto_extraction,"chapter-3, chapter-13, chapter-15",,,false,Extracted via terminology_analysis_known
trade secret,bí mật thương mại,other,candidate,medium,auto_extraction,"chapter-3, chapter-5, chapter-14",,,false,Extracted via terminology_analysis_known
utility patent,bằng sáng chế tiện ích,other,candidate,medium,auto_extraction,"chapter-3, chapter-4, chapter-14",,,false,Extracted via terminology_analysis_known
jingle,đoạn nhạc quảng cáo,other,candidate,medium,auto_extraction,"chapter-3, chapter-8, chapter-14",,,false,Extracted via terminology_analysis_known
public relations,quan hệ công chúng,other,candidate,medium,auto_extraction,"chapter-3, chapter-8, chapter-11",,,false,Extracted via terminology_analysis_known
tesla,Tesla,other,candidate,medium,auto_extraction,"chapter-3, chapter-4, chapter-11",,,false,Extracted via terminology_analysis_known
early adopters,người chấp nhận sớm,other,candidate,medium,auto_extraction,"chapter-4, chapter-10, chapter-11",,,false,Extracted via terminology_analysis_known
relationship management,quản lý quan hệ,other,candidate,medium,auto_extraction,"chapter-4, chapter-8, chapter-14",,,false,Extracted via terminology_analysis_known
financial viability,tính khả thi tài chính,other,candidate,medium,auto_extraction,"chapter-5, chapter-9, chapter-11",,,false,Extracted via terminology_analysis_known
unique selling proposition,đề xuất bán hàng độc nhất (USP),other,candidate,medium,auto_extraction,"chapter-5, chapter-8, chapter-10",,,false,Extracted via terminology_analysis_known
crowdsourcing,huy động trí tuệ đám đông,other,candidate,medium,auto_extraction,"chapter-5, chapter-6, chapter-14",,,false,Extracted via terminology_analysis_known
market analysis,phân tích thị trường,other,candidate,medium,auto_extraction,"chapter-5, chapter-8, chapter-11",,,false,Extracted via terminology_analysis_known
operational expenses,chi phí vận hành,other,candidate,medium,auto_extraction,"chapter-5, chapter-9, chapter-12",,,false,Extracted via terminology_analysis_known
pivoting,chuyển hướng chiến lược,other,candidate,medium,auto_extraction,"chapter-7, chapter-8, chapter-10",,,false,Extracted via terminology_analysis_known
nondisclosure agreement,thỏa thuận không tiết lộ,other,candidate,medium,auto_extraction,"chapter-7, chapter-11, chapter-15",,,false,Extracted via terminology_analysis_known
Shark Tank,,other,candidate,medium,auto_extraction,"chapter-7, chapter-9, chapter-11",,,false,Extracted via terminology_analysis_candidate
digital marketing,tiếp thị kỹ thuật số,other,candidate,medium,auto_extraction,"chapter-8, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
customer acquisition,thu hút khách hàng,other,candidate,medium,auto_extraction,"chapter-8, chapter-10, chapter-11",,,false,Extracted via terminology_analysis_known
balance sheet,bảng cân đối kế toán,other,candidate,medium,auto_extraction,"chapter-9, chapter-11, chapter-12",,,false,Extracted via terminology_analysis_known
financial statement,báo cáo tài chính,other,candidate,medium,auto_extraction,"chapter-9, chapter-11, chapter-12",,,false,Extracted via terminology_analysis_known
variable costs,chi phí biến đổi,other,candidate,medium,auto_extraction,"chapter-9, chapter-11, chapter-12",,,false,Extracted via terminology_analysis_known
working capital,vốn lưu động,other,candidate,medium,auto_extraction,"chapter-9, chapter-11, chapter-14",,,false,Extracted via terminology_analysis_known
joint venture,liên doanh,other,candidate,medium,auto_extraction,"chapter-10, chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
quantifiable manner,cách thức đo lường được,other,candidate,medium,auto_extraction,"chapter-1, chapter-7",,,false,Extracted via terminology_analysis_known
smart goals,mục tiêu SMART,other,candidate,medium,auto_extraction,"chapter-1, chapter-7",,,false,Extracted via terminology_analysis_known
pain point,điểm đau (vấn đề của khách hàng),other,candidate,medium,auto_extraction,"chapter-1, chapter-4",,,false,Extracted via terminology_analysis_known
accounts receivable,các khoản phải thu,other,candidate,medium,auto_extraction,"chapter-1, chapter-9",,,false,Extracted via terminology_analysis_known
lifestyle business,doanh nghiệp phục vụ lối sống,other,candidate,medium,auto_extraction,"chapter-1, chapter-15",,,false,Extracted via terminology_analysis_known
Red Cross,,other,candidate,medium,auto_extraction,"chapter-1, chapter-9",,,false,Extracted via terminology_analysis_candidate
Ted Talk,,other,candidate,medium,auto_extraction,"chapter-1, chapter-7",,,false,Extracted via terminology_analysis_candidate
Problem Solving and Need Recognition,,other,candidate,medium,auto_extraction,"chapter-1, chapter-2",,,false,Extracted via terminology_analysis_candidate
benchmarking,so sánh chuẩn (benchmarking),other,candidate,medium,auto_extraction,"chapter-2, chapter-12",,,false,Extracted via terminology_analysis_known
capitalism,chủ nghĩa tư bản,other,candidate,medium,auto_extraction,"chapter-2, chapter-3",,,false,Extracted via terminology_analysis_known
vertical integration,tích hợp dọc,other,candidate,medium,auto_extraction,"chapter-2, chapter-14",,,false,Extracted via terminology_analysis_known
resourcefulness,tính tháo vát,other,candidate,medium,auto_extraction,"chapter-2, chapter-6",,,false,Extracted via terminology_analysis_known
bundling,bán gộp sản phẩm,other,candidate,medium,auto_extraction,"chapter-2, chapter-8",,,false,Extracted via terminology_analysis_known
bartering,trao đổi hàng hóa (barter),other,candidate,medium,auto_extraction,"chapter-2, chapter-9",,,false,Extracted via terminology_analysis_known
tax-exempt status,tình trạng miễn thuế,other,candidate,medium,auto_extraction,"chapter-2, chapter-9",,,false,Extracted via terminology_analysis_known
liquidity,tính thanh khoản,other,candidate,medium,auto_extraction,"chapter-2, chapter-12",,,false,Extracted via terminology_analysis_known
Building Networks and Foundations,,other,candidate,medium,auto_extraction,"chapter-2, chapter-14",,,false,Extracted via terminology_analysis_candidate
Launch for Growth to Success,,other,candidate,medium,auto_extraction,"chapter-2, chapter-7",,,false,Extracted via terminology_analysis_candidate
Joseph Schumpeter,,other,candidate,medium,auto_extraction,"chapter-2, chapter-5",,,false,Extracted via terminology_analysis_candidate
business ethics,đạo đức kinh doanh,other,candidate,medium,auto_extraction,"chapter-3, chapter-15",,,false,Extracted via terminology_analysis_known
design patent,bằng sáng chế kiểu dáng,other,candidate,medium,auto_extraction,"chapter-3, chapter-14",,,false,Extracted via terminology_analysis_known
ethics,đạo đức,other,candidate,medium,auto_extraction,"chapter-3, chapter-15",,,false,Extracted via terminology_analysis_known
integrity,tính chính trực,other,candidate,medium,auto_extraction,"chapter-3, chapter-14",,,false,Extracted via terminology_analysis_known
truthfulness,tính trung thực,other,candidate,medium,auto_extraction,"chapter-3, chapter-13",,,false,Extracted via terminology_analysis_known
legal compliance,tuân thủ pháp luật,other,candidate,medium,auto_extraction,"chapter-3, chapter-6",,,false,Extracted via terminology_analysis_known
code of conduct,quy tắc ứng xử,other,candidate,medium,auto_extraction,"chapter-3, chapter-15",,,false,Extracted via terminology_analysis_known
codes of conduct,các quy tắc ứng xử,other,candidate,medium,auto_extraction,"chapter-3, chapter-15",,,false,Extracted via terminology_analysis_known
shareholders,shareholders,other,candidate,medium,auto_extraction,"chapter-3, chapter-13",,,false,Extracted via terminology_analysis_known
torts,Torts,other,candidate,medium,auto_extraction,"chapter-3, chapter-13",,,false,Extracted via terminology_analysis_known
Silicon Valley,,other,candidate,medium,auto_extraction,"chapter-3, chapter-7",,,false,Extracted via terminology_analysis_candidate
US Department of Labor,,other,candidate,medium,auto_extraction,"chapter-3, chapter-12",,,false,Extracted via terminology_analysis_candidate
Harvard Business Review,,other,candidate,medium,auto_extraction,"chapter-3, chapter-15",,,false,Extracted via terminology_analysis_candidate
disruptive innovation,đổi mới đột phá,other,candidate,medium,auto_extraction,"chapter-4, chapter-11",,,false,Extracted via terminology_analysis_known
user interface,giao diện người dùng,other,candidate,medium,auto_extraction,"chapter-4, chapter-7",,,false,Extracted via terminology_analysis_known
human-centered design,thiết kế lấy con người làm trung tâm,other,candidate,medium,auto_extraction,"chapter-4, chapter-6",,,false,Extracted via terminology_analysis_known
corporate narrative,câu chuyện doanh nghiệp,other,candidate,medium,auto_extraction,"chapter-4, chapter-7",,,false,Extracted via terminology_analysis_known
Henry Ford,,other,candidate,medium,auto_extraction,"chapter-4, chapter-6",,,false,Extracted via terminology_analysis_candidate
Elon Musk,,other,candidate,medium,auto_extraction,"chapter-4, chapter-5",,,false,Extracted via terminology_analysis_candidate
(a),,other,candidate,medium,auto_extraction,"chapter-4, chapter-10",,,false,Extracted via html_bold_tag
(b),,other,candidate,medium,auto_extraction,"chapter-4, chapter-10",,,false,Extracted via html_bold_tag
primary research,nghiên cứu sơ cấp,other,candidate,medium,auto_extraction,"chapter-5, chapter-8",,,false,Extracted via terminology_analysis_known
secondary research,nghiên cứu thứ cấp,other,candidate,medium,auto_extraction,"chapter-5, chapter-8",,,false,Extracted via terminology_analysis_known
fixed assets,tài sản cố định,other,candidate,medium,auto_extraction,"chapter-5, chapter-9",,,false,Extracted via terminology_analysis_known
financial sustainability,tính bền vững tài chính,other,candidate,medium,auto_extraction,"chapter-5, chapter-9",,,false,Extracted via terminology_analysis_known
business failure,thất bại kinh doanh,other,candidate,medium,auto_extraction,"chapter-5, chapter-10",,,false,Extracted via terminology_analysis_known
inventory management,quản lý tồn kho,other,candidate,medium,auto_extraction,"chapter-5, chapter-12",,,false,Extracted via terminology_analysis_known
political factors,các yếu tố chính trị,other,candidate,medium,auto_extraction,"chapter-5, chapter-14",,,false,Extracted via terminology_analysis_known
Sara Blakely,,other,candidate,medium,auto_extraction,"chapter-5, chapter-6",,,false,Extracted via terminology_analysis_candidate
communication skills,kỹ năng giao tiếp,other,candidate,medium,auto_extraction,"chapter-6, chapter-8",,,false,Extracted via terminology_analysis_known
ideate,hình thành ý tưởng,other,candidate,medium,auto_extraction,"chapter-6, chapter-7",,,false,Extracted via terminology_analysis_known
lean process,quy trình tinh gọn,other,candidate,medium,auto_extraction,"chapter-6, chapter-10",,,false,Extracted via terminology_analysis_known
Rebus Community,,other,candidate,medium,auto_extraction,"chapter-6, chapter-7",,,false,Extracted via terminology_analysis_candidate
Link to Learning Watch,,other,candidate,medium,auto_extraction,"chapter-6, chapter-11",,,false,Extracted via terminology_analysis_candidate
Stanford University,,other,candidate,medium,auto_extraction,"chapter-6, chapter-7",,,false,Extracted via terminology_analysis_candidate
noncompete agreement,thỏa thuận không cạnh tranh,other,candidate,medium,auto_extraction,"chapter-7, chapter-15",,,false,Extracted via terminology_analysis_known
brand advocate,người ủng hộ thương hiệu,other,candidate,medium,auto_extraction,"chapter-7, chapter-8",,,false,Extracted via terminology_analysis_known
tagline,khẩu hiệu thương hiệu,other,candidate,medium,auto_extraction,"chapter-7, chapter-8",,,false,Extracted via terminology_analysis_known
How I Built This,,other,candidate,medium,auto_extraction,"chapter-7, chapter-9",,,false,Extracted via terminology_analysis_candidate
personal selling,bán hàng cá nhân,other,candidate,medium,auto_extraction,"chapter-8, chapter-11",,,false,Extracted via terminology_analysis_known
physical environment,môi trường vật lý,other,candidate,medium,auto_extraction,"chapter-8, chapter-10",,,false,Extracted via terminology_analysis_known
sales promotion,xúc tiến bán hàng,other,candidate,medium,auto_extraction,"chapter-8, chapter-11",,,false,Extracted via terminology_analysis_known
customer retention,giữ chân khách hàng,other,candidate,medium,auto_extraction,"chapter-8, chapter-11",,,false,Extracted via terminology_analysis_known
accounting equation,phương trình kế toán,other,candidate,medium,auto_extraction,"chapter-9, chapter-11",,,false,Extracted via terminology_analysis_known
accounts payable,các khoản phải trả,other,candidate,medium,auto_extraction,"chapter-9, chapter-12",,,false,Extracted via terminology_analysis_known
burn rate,tốc độ đốt tiền,other,candidate,medium,auto_extraction,"chapter-9, chapter-15",,,false,Extracted via terminology_analysis_known
cost of goods sold,giá vốn hàng bán,other,candidate,medium,auto_extraction,"chapter-9, chapter-14",,,false,Extracted via terminology_analysis_known
fixed costs,chi phí cố định,other,candidate,medium,auto_extraction,"chapter-9, chapter-11",,,false,Extracted via terminology_analysis_known
funding resources,nguồn tài trợ,other,candidate,medium,auto_extraction,"chapter-9, chapter-14",,,false,Extracted via terminology_analysis_known
entrepreneurial ecosystem,hệ sinh thái khởi nghiệp,other,candidate,medium,auto_extraction,"chapter-10, chapter-11",,,false,Extracted via terminology_analysis_known
iterations,các lần lặp cải tiến,other,candidate,medium,auto_extraction,"chapter-10, chapter-11",,,false,Extracted via terminology_analysis_known
Entrepreneurial Marketing and Sales,,other,candidate,medium,auto_extraction,"chapter-10, chapter-14",,,false,Extracted via terminology_analysis_candidate
Joint Ventures,,other,candidate,medium,auto_extraction,"chapter-10, chapter-13",,,false,Extracted via terminology_analysis_candidate
pro forma,báo cáo tài chính dự kiến,other,candidate,medium,auto_extraction,"chapter-11, chapter-12",,,false,Extracted via terminology_analysis_known
creditworthiness,mức độ tín nhiệm tín dụng,other,candidate,medium,auto_extraction,"chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
production time,thời gian sản xuất,other,candidate,medium,auto_extraction,"chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
general partnership,hợp danh chung,other,candidate,medium,auto_extraction,"chapter-12, chapter-13",,,false,Extracted via terminology_analysis_known
line of credit,hạn mức tín dụng,other,candidate,medium,auto_extraction,"chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
quotas,hạn ngạch,other,candidate,medium,auto_extraction,"chapter-12, chapter-14",,,false,Extracted via terminology_analysis_known
Service Corps of Retired Executives,,other,candidate,medium,auto_extraction,"chapter-12, chapter-15",,,false,Extracted via terminology_analysis_candidate
tariffs,thuế quan,other,candidate,medium,auto_extraction,"chapter-13, chapter-14",,,false,Extracted via terminology_analysis_known
JOBS Act,,other,candidate,medium,auto_extraction,"chapter-13, chapter-14",,,false,Extracted via terminology_analysis_candidate
tangible resources,nguồn lực hữu hình,other,candidate,medium,auto_extraction,"chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
company culture,văn hóa công ty,other,candidate,medium,auto_extraction,"chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
Y Combinator,,other,candidate,medium,auto_extraction,"chapter-14, chapter-15",,,false,Extracted via terminology_analysis_candidate
career entrepreneur,doanh nhân theo đuổi sự nghiệp lâu dài,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_known
divergent thinking,tư duy phân kỳ,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_known
lifestyle venture,doanh nghiệp phục vụ lối sống,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_known
opportunity-identifying perspective,góc nhìn nhận diện cơ hội,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_known
How Do You Define,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Gilboa and Blumenthal,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
The Wander Girls,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Roxanne Quimby,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
The Entrepreneur,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Solving and Need Recognition Techniques,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Chloe Huang,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Education for Sustainable Development,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Factors Driving the Growth of Entrepreneurship,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
The Entrepreneurial Mindset,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Angad Daryani,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Kevin F,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Miracle Messages,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Coastal Tractor,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Phil Libin,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
CEO of Evernote,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Heisenberg Media,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Entrepreneurship Today,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Entrepreneurial Vision and Goals,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Global Action Programme on Education,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
Sustainable Development,,other,candidate,medium,auto_extraction,chapter-1,,,false,Extracted via terminology_analysis_candidate
market entry,gia nhập thị trường,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_known
cash management,quản lý dòng tiền,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_known
corporate entrepreneurship,khởi nghiệp trong doanh nghiệp,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_known
intrapreneur,doanh nhân nội bộ,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_known
situational opportunity,cơ hội tình huống,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_known
soft launch,ra mắt thử nghiệm (soft launch),other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_known
entrepreneurial exposure,mức độ tiếp xúc với môi trường khởi nghiệp,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_known
self-employment,tự kinh doanh (tự làm chủ),other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_known
entrepreneurship in action,khởi nghiệp thực chiến,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_known
Glacier National Park,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Entrepreneurial Potential Self-Assessment,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
The Entrepreneurial Journey,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
The U,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Exploring Resources,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
The Jitterbug,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
How I Built a Subscription,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Business That,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Structure Options,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
PopUp Business School,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Surge Cities,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
These Are,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Best Places in America for Starting,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Think of Us,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
The Process of Becoming an Entrepreneur,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Entrepreneurial Personality Test,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
The United States,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
The Pembina,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Madam C,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
African American,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Charles Drew,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
World War II,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Jean-Baptiste Say,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
William Penn,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Sybilla Masters,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Benjamin Franklin,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Commonwealth of Pennsylvania,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Frame of Government,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Adam Smith,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
The First Industrial Revolution,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Eli Whitney,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Elias Howe,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Samuel Morse,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
First Industrial Revolution,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
African Americans,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Second Industrial Revolution,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
The Second Industrial Revolution,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
World War I,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
The American,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Great Depression,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
After World War II,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
The Knowledge Economy,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
The Entrepreneurial Process,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
In Stage,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Man Crates,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Entrepreneurial Pathways,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Family Obligations,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Gordon Moore and Fairchild Semiconductor,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Gordon Moore,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Fairchild Semiconductor,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Your Personal Path,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Frameworks to Inform Your Entrepreneurial,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Lean Strategy Canvas,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Design Thinking Process,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Four Lenses Strategic Framework,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Applying the Framework,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
Action Plan Support Tools,,other,candidate,medium,auto_extraction,chapter-2,,,false,Extracted via terminology_analysis_candidate
